picture_url,editors_choice,time_published,title,shipping,time_modified,price,hotness,uuid,url,description,category
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r7hqvdsmyhyxvz1cfwsd",,2018-01-07T00:39:02-05:00,Rocket League for PC,,,$8,3,2173361,https://www.dealnews.com/Rocket-League-for-PC-for-8/2173361.html,"CDKeys offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173361"">Rocket League for Windows</a> for <strong>$7.89</strong>. That's the best price we could find for this soccer-meets-driving game by $8, although it was pennies less two weeks ago.<br>
<br>
Note: New customers can provide an email address on the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099156,2173361"">CDKeys Facebook page</a> to get a unique coupon code that cuts an extra 5% off.",PC GAMES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zqd6ynhq0oavkswgccml",True,2018-01-06T23:32:53-05:00,"Electric Fireplace with 44"" Mantle",pickup at Walmart,,$117,3,2173358,https://www.dealnews.com/Electric-Fireplace-with-44-Mantle-for-117-pickup-at-Walmart/2173358.html,"Walmart offers this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173358"">Electric Fireplace with 44"" Mantle</a> in Black for $119. Opt for in-store <strong>pickup</strong> to drop it to <b>$116.91</b>. (You can also opt for free shipping if you aren't interested in the pickup discount.) That's $10 under our mention from a week ago, $64 off list, and the lowest price we've seen. This 3,750-BTU fireplace is designed to heat rooms up to 325 square feet.",HEATERS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uprmqpdopsfqejvuzbux",True,2018-01-06T22:34:16-05:00,Dr. Bronner's 32-oz. Pure-Castile Liquid Soap,free shipping,,$8 w/ $25 purchase,4,2173355,https://www.dealnews.com/Dr.-Bronners-32-oz.-Pure-Castile-Liquid-Soap-for-8-w-25-purchase-free-shipping/2173355.html,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173355"">Dr. Bronner's Pure-Castile Liquid Soap 32-oz. Bottle in Lavender</a> for <strong>$8.22</strong> with <strong>free shipping</strong>. That's $2 under our mention from two days ago and the lowest price we could find by $10. It features organic and vegan ingredients.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",SKIN CARE
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xudq99ovcknanfdlqnrx",True,,Under Armor Men's Forest 03 Jacket (size L),$6 shipping,2018-01-06T22:27:34-05:00,$30,5,2173352,https://www.dealnews.com/Under-Armor-Mens-Forest-03-Jacket-size-L-for-30-6-s-h/2173352.html,"Cabela's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173352"">Under Armour Men's Ridge Reaper Forest 03 Jacket</a> for <b>$29.98</b> plus <strong>$5.95</strong> for shipping. (Pickup may be available in select areas.) That's the lowest price we could find by $170. It's available in L only.",SWEATSHIRTS & HOODIES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/knn44i4liqzhed7cq04w",True,2018-01-06T22:06:20-05:00,Bob the Builder Transforming Scoop,free shipping w/ Prime,,$14,4,2173349,https://www.dealnews.com/Bob-the-Builder-Transforming-Scoop-for-14-free-shipping-w-Prime/2173349.html,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173349"">Fisher-Price Bob the Builder Transforming Scoop</a> for <strong>$13.65</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $19. It features two modes of play (vehicle mode and playset mode) and Scoop's back arm converts into a functioning vehicle ram.",TOYS & HOBBIES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fmoaln8sc5kj5luqtj89",True,2018-01-06T21:45:07-05:00,LifeStraw Mission Water Purification System,free shipping,,$75 w/Prime,3,2173346,https://www.dealnews.com/Life-Straw-Mission-Water-Purification-System-for-75-w-Prime-free-shipping/2173346.html,"Exclusively for Prime members, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173346"">LifeStraw Mission Water Purification System</a> for <strong>$74.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $55. This BPA-free device enables you to safely drink contaminated water. It purports to remove almost 100% of waterborne bacteria and protozoan parasites and will filter up to 18,000 liters of water.",CAMPING & OUTDOORS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mwlttt7mvan0fz2iyiwo",True,2018-01-06T21:35:02-05:00,Breville Juice Fountain Plus Juice Extractor,free shipping,,$90,3,2173343,https://www.dealnews.com/Breville-Juice-Fountain-Plus-Juice-Extractor-for-90-free-shipping/2173343.html,"Bloomingdale's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173343"">Breville Juice Fountain Plus 850-watt Juice Extractor</a> for <strong>$89.99</strong>. Plus, Loyallist members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099138,2173343"">join</a>.) That's the lowest price we could find by $12. It features an 850-watt dual-speed motor, stainless-steel cutting disc, safety locking, and dishwasher-safe parts.",SMALL APPLIANCES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qyiwomhxuhz12zenkkv9",,,Modway Edge Ergonomic Mesh Back Office Chair,free shipping,2018-01-06T23:04:41-05:00,$122,3,2173340,https://www.dealnews.com/Modway-Edge-Ergonomic-Mesh-Back-Office-Chair-for-122-free-shipping/2173340.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173340"">Modway Edge Ergonomic Mesh Back Vinyl Office Chair With Flip-Up Arms</a> in Black for <b>$122.39</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099135,2173340"">Home Depot</a> charges the same.) That's the lowest price we could find by $22. It features adjustable height, tilt, and tension.",OFFICE CHAIRS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oy5sqowyyvsrrz2tyqys",,,Monarch Bonded Leather Swivel Glider Recliner,free shipping,2018-01-06T22:03:46-05:00,$246,4,2173337,https://www.dealnews.com/Monarch-Bonded-Leather-Swivel-Glider-Recliner-for-246-free-shipping/2173337.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173337"">Monarch Specialties Bonded Leather Swivel Glider Recliner</a> in Charcoal Grey for <b>$246.45</b> with <b>free shipping</b>. That's the lowest price we could find by $38. It reclines to about 30° and features a retractable footrest.",CHAIRS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stvamjek2izwihfqpmnd",,2018-01-07T00:01:00-05:00,Soufull Stainless Steel Poultry Scissors,free shipping w/ Prime,,$9,,2172605,https://www.dealnews.com/Soufull-Stainless-Steel-Poultry-Scissors-for-9-free-shipping-w-Prime/2172605.html,"yichengjin via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172605"">Soufull Multi-Functional Stainless Steel Scissors</a> for $12.88. Coupon code ""black855"" cuts that to <strong>$8.55</strong>. Plus, Prime members bag <strong>free shipping</strong>. Deal ends January 31.",KITCHEN
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hlkyo6yhotgpbsylh7d6",,,Filtrete Air Filters at Amazon,free shipping,2018-01-06T21:40:33-05:00,Up to 15% off,5,2173334,https://www.dealnews.com/Filtrete-Air-Filters-at-Amazon-Up-to-15-off-free-shipping/2173334.html,"Amazon cuts <strong>up to 15% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173334"">Filtrete air filters</a>. (Prices are as marked, and although the discount is advertised as up to 15% off, we found even bigger cuts.) Plus, all qualify for <strong>free shipping</strong>.",HOME & GARDEN
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ki8prkclvlvt8qzyeuid",,2018-01-06T16:14:52-05:00,"RCA 43"" 4K LED LCD UHD TV",free shipping,,$270,2,2173328,https://www.dealnews.com/RCA-43-4-K-LED-LCD-UHD-TV-for-270-free-shipping/2173328.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173328"">RCA 43"" 4K LED-Backlit LCD Ultra HD TV</a>, model no. RTU4300, for <strong>$269.99</strong> with <strong>free shipping</strong>. That's tied with our November mention and the lowest price we could find by $38. It features a 3840x2160 (2160p) native resolution, LED backlight, and four HDMI inputs.",TVS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yoim26ddwmp4xukmfg72",,,Razor Power Core 90 Electric Scooter,free shipping,2018-01-06T23:03:48-05:00,$88,3,2173331,https://www.dealnews.com/Razor-Power-Core-90-Electric-Scooter-for-88-free-shipping/2173331.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173331"">Razor Power Core 90 Electric Scooter</a> in Green or Pink for <strong>$88</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099129,2173331"">Amazon</a> offers it for the same price.) That's tied with our November mention and the lowest price we could find by $12. It features a top speed of 10mph, hand-operated front brake, retractable kick stand, and ride time of up to 70 minutes.",TOYS & HOBBIES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nmiltmpiko1evktudv24",,,American Rag Women's Faux-Fur Hooded Parka,free s&h w/beauty item,2018-01-06T22:02:09-05:00,$40,4,2173325,https://www.dealnews.com/American-Rag-Womens-Faux-Fur-Hooded-Parka-for-40-free-s-h-w-beauty-item/2173325.html,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173325"">American Rag Women's Faux-Fur Hooded Parka</a> in several colors (Olive/White Combo pictured) for <strong>$39.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099126,2173325"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $57 off and the lowest price we could find. It's available in select sizes from XXS to XL. Deal ends January 7.",COATS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gftvrbccuopygbavaskd",,,Bell Automotive Roadside Emergency Kit,free shipping,2018-01-06T22:00:57-05:00,$36,4,2173319,https://www.dealnews.com/Bell-Automotive-Roadside-Emergency-Kit-for-36-free-shipping/2173319.html,"Pep Boys via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173319"">Bell Automotive Products Premium Roadside Emergency Kit</a> for <b>$35.99</b> with <b>free shipping</b>. That's $9 under the lowest price we could find for a similar set elsewhere. The kit includes an 8-foot booster cable, tire sealant, LED flashlight, three AAA batteries, glow sticks, multi-tool, slip joint pliers, 2-in-1 screwdriver, 24"" elastic tie down, cable ties, electrical tape, duct tape, shop towel, nitrile gloves, jersey gloves, safety vest, rain poncho, fleece blanket, space blanket, first aid kit, and a help sign.",AUTOMOTIVE
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e6rkfcx7ntkd5lim4vij",,,Nike Men's Therma Fit KO Crew Shirt,free shipping,2018-01-06T21:37:54-05:00,$20,5,2173316,https://www.dealnews.com/Nike-Mens-Therma-Fit-KO-Crew-Shirt-for-20-free-shipping/2173316.html,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173316"">Nike Men's Therma Fit KO Crew Shirt</a> in several colors (Black pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $35 off and the lowest price we could find. It's available in sizes <del>XS</del> L to 3XL.",SWEATSHIRTS & HOODIES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o80bnlnxhwobo7shgtxb",,,Bosch 12V 2-Speed Drill/Driver Kit,free shipping,2018-01-06T23:03:23-05:00,$99,3,2173322,https://www.dealnews.com/Bosch-12-V-2-Speed-Drill-Driver-Kit-for-99-free-shipping/2173322.html,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173322"">Bosch 12-volt 2-Speed Drill/Driver Kit</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28. It includes two batteries, charger, and carrying case.",POWER TOOLS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/iacougzosqogop7gkg3e",,,JOOLA Table Tennis Table Cover,pickup at Walmart,2018-01-06T23:03:09-05:00,$22,3,2173244,https://www.dealnews.com/JOOLA-Table-Tennis-Table-Cover-for-22-pickup-at-Walmart/2173244.html,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173244"">JOOLA Table Tennis Table Cover</a> for <strong>$21.60</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099045,2173244"">Sears</a> offers it for the same price.) Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping charge. That's the lowest price we could find by $8. It fits standard 9x5-foot tables.",SPORTS & FITNESS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/stnw4aqil99mbir7fkx3",,,Field & Stream Men's Leather Watch,$7 shipping,2018-01-06T21:59:38-05:00,$13,4,2173307,https://www.dealnews.com/Field-Stream-Mens-Leather-Watch-for-13-7-s-h/2173307.html,"Time to Shade offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173307"">Field &amp; Stream Men's Leather Watch</a> for $50. Coupon code ""DNEWS75"" cuts that price to <strong>$12.50</strong>. With around <strong>$7</strong> for shipping (it varies by location), that's $137 off and the lowest price we could find. It features a leather strap, steel bezel, quartz movement, and water resistance to 165 feet.",WATCHES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ydfbhq1eoc6ncmebhug2",,2018-01-06T12:54:19-05:00,Chase Freedom Unlimited® Card,,,Earn a $150 bonus,,2173271,"https://www.dealnews.com/lw/click.html?20,2,2173271","Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173271"">Chase Freedom Unlimited® Card</a> and <strong>earn a $150 Bonus</strong> after you spend $500 on purchases in your first three months from account opening. Plus, receive a <strong>0% Intro APR</strong> for 15 months on purchases and balance transfers. (After that, variable APR, currently 15.99% - 24.74%.) Other card features include earning <strong>unlimited 1.5% cash back</strong> on every purchase. It's automatic! Redeem for cash back - any amount, anytime and your Cash Back rewards do not expire as long as your account is open. Plus, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099087,2173271"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",CREDIT CARDS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqqqabrhybxjjm846a7b",,,Casual Home Nolan 4-Shelf Ladder Bookcase,free shipping,2018-01-06T23:02:28-05:00,$90,3,2173310,https://www.dealnews.com/Casual-Home-Nolan-4-Shelf-Ladder-Bookcase-for-90-free-shipping/2173310.html,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173310"">Casual Home Nolan 4-Shelf Folding Ladder Bookcase</a> in White for <strong>$89.50</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $49. It measures 60"" x 24"" x 16"". Deal ends January 7.",HOME FURNITURE
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tqnorfgryvfslltokcs7",,,"XtremepowerUS 1,500W Infrared Fireplace",free shipping,2018-01-06T23:01:39-05:00,$120,3,2173304,https://www.dealnews.com/Xtremepower-US-1-500-W-Infrared-Fireplace-for-120-free-shipping/2173304.html,"Id-rack via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173304"">XtremepowerUS 1,500-watt Infrared Fireplace</a> in Honey Oak for <strong>$119.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. It features a remote control, timer, and dimmer.",HEATERS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o9clbjwvlwlskdplggte",,,Under Armour Hustle 3.0 Backpack,free shipping,2018-01-06T21:58:35-05:00,$40,4,2173298,https://www.dealnews.com/Under-Armour-Hustle-3.0-Backpack-for-40-free-shipping/2173298.html,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173298"">Under Armour Hustle 3.0 Backpack</a> in several colors (Black/Steel pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099123,2173298"">Zappos</a> offers it for the same price.) That's the lowest price we could find by $15. It's water repellent and features a laptop sleeve, side pockets, and a shoe pocket.",BACKPACKS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ipcfclygnqntidwm013x",,,Kathy Ireland Mulholland Swing Arm Floor Lamp,free shipping,2018-01-06T23:00:21-05:00,$100,3,2173301,https://www.dealnews.com/Kathy-Ireland-Mulholland-Swing-Arm-Floor-Lamp-for-100-free-shipping/2173301.html,"Lamps Plus offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173301"">Kathy Ireland Mulholland Swing Arm Floor Lamp</a> for <strong>$99.95</strong> with <strong>free shipping</strong>. That's $100 off and the lowest price we could find. It stands at 61"" tall and features a swing arm. Deal ends January 28.",LIGHTING & LAMPS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mpjwfwovmunnwdlmaqiq",,,G.H. Bass Men's Washed Canvas Oxford Shoes,free shipping,2018-01-06T21:57:43-05:00,$35,4,2173295,https://www.dealnews.com/G.H.-Bass-Mens-Washed-Canvas-Oxford-Shoes-for-35-free-shipping/2173295.html,"Nashville Shoe Warehouse via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173295"">G.H. Bass &amp; Co. Men's Proctor Premium Washed Canvas Oxford Shoes</a> in Black for <strong>$34.99</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find by $20. They're available in select sizes from 7 to 13.",SHOES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bykbklpqwiuxca9vpa7p",,2018-01-06T14:02:09-05:00,Quest Hard Arm Chair,$6 shipping,,$15,2,2173235,https://www.dealnews.com/Quest-Hard-Arm-Chair-for-15-6-s-h/2173235.html,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173235"">Quest Hard Arm Chair</a> in Red for <strong>$14.97</strong> plus <strong>$5.99</strong> for shipping. That's tied with our October mention and the lowest price we could find by $13. It features a beverage holder, carry bag, and weight capacity of 300 lbs.",CAMPING & OUTDOORS
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a8wztosdukwaeidihpvc",,,Joy Mangano Miracle Mop Bucket,free s&h w/beauty item,2018-01-06T23:00:01-05:00,$13,3,2173289,https://www.dealnews.com/Joy-Mangano-Miracle-Mop-Bucket-for-13-free-s-h-w-beauty-item/2173289.html,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173289"">Joy Mangano Miracle Mop Bucket</a> in Purple or Fuchsia for $14.99. Coupon code ""WKND"" cuts the price to <strong>$12.74</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099120,2173289"">HSN via eBay</a> charges about the same.) Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099108,2173289"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's the lowest price we could find by $5. It features a 4-gallon capacity, easy-pour spout, and locking handle. Deal ends January 7.",CLEANING SUPPLIES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x0ainugfp3izxogavvp5",,,Polaris Women's Asymmetrical Hoodie,free shipping,2018-01-06T22:58:19-05:00,$30,3,2173283,https://www.dealnews.com/Polaris-Womens-Asymmetrical-Hoodie-for-30-free-shipping/2173283.html,"Fix_my_toys via eBay offers the OEM <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173283"">Polaris Women's Asymmetrical Sweatshirt Hoodie</a> in Black for <strong>$29.95</strong> with <strong>free shipping</strong>. That's $30 off and the lowest price we could find. It's available in sizes XS to L.",SWEATSHIRTS & HOODIES
"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l5841o2xtz7post4fpst",,2018-01-06T13:50:37-05:00,Martha Stewart Collection 3-Pc. Zesting Set,free s&h w/beauty item,,$9,2,2173292,https://www.dealnews.com/Martha-Stewart-Collection-3-Pc.-Zesting-Set-for-9-free-s-h-w-beauty-item/2173292.html,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173292"">Martha Stewart Collection 3-Pice Zesting Set</a> for <strong>$9.03</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099111,2173292"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $14 off list and the lowest price we could find. It features a zester, peeler, and paring knife.",KITCHEN
