uuid,time_published,price,time_modified,description,picture_url,editors_choice,shipping,url,title,category,hotness
2173310,2018-01-06T14:59:39-05:00,$90,,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173310"">Casual Home Nolan 4-Shelf Folding Ladder Bookcase</a> in White for <strong>$89.50</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $49. It measures 60"" x 24"" x 16"". Deal ends January 7.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hqqqabrhybxjjm846a7b",,free shipping,https://www.dealnews.com/Casual-Home-Nolan-4-Shelf-Ladder-Bookcase-for-90-free-shipping/2173310.html,Casual Home Nolan 4-Shelf Ladder Bookcase,HOME FURNITURE,3
2173304,2018-01-06T14:44:41-05:00,$120,,"Id-rack via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173304"">XtremepowerUS 1,500-watt Infrared Fireplace</a> in Honey Oak for <strong>$119.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $7. It features a remote control, timer, and dimmer.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/tqnorfgryvfslltokcs7",,free shipping,https://www.dealnews.com/Xtremepower-US-1-500-W-Infrared-Fireplace-for-120-free-shipping/2173304.html,"XtremepowerUS 1,500W Infrared Fireplace",HEATERS,3
2173298,2018-01-06T14:31:14-05:00,$40,,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173298"">Under Armour Hustle 3.0 Backpack</a> in several colors (Black/Steel pictured) for <strong>$39.98</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099123,2173298"">Zappos</a> offers it for the same price.) That's the lowest price we could find by $15. It's water repellent and features a laptop sleeve, side pockets, and a shoe pocket.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o9clbjwvlwlskdplggte",,free shipping,https://www.dealnews.com/Under-Armour-Hustle-3.0-Backpack-for-40-free-shipping/2173298.html,Under Armour Hustle 3.0 Backpack,BACKPACKS,4
2173301,,$100,2018-01-06T14:22:02-05:00,"Lamps Plus offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173301"">Kathy Ireland Mulholland Swing Arm Floor Lamp</a> for <strong>$99.95</strong> with <strong>free shipping</strong>. That's $100 off and the lowest price we could find. It stands at 61"" tall and features a swing arm. Deal ends January 28.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ipcfclygnqntidwm013x",,free shipping,https://www.dealnews.com/Kathy-Ireland-Mulholland-Swing-Arm-Floor-Lamp-for-100-free-shipping/2173301.html,Kathy Ireland Mulholland Swing Arm Floor Lamp,LIGHTING & LAMPS,3
2173295,2018-01-06T14:05:11-05:00,$35,,"Nashville Shoe Warehouse via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173295"">G.H. Bass &amp; Co. Men's Proctor Premium Washed Canvas Oxford Shoes</a> in Black for <strong>$34.99</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find by $20. They're available in select sizes from 7 to 13.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mpjwfwovmunnwdlmaqiq",,free shipping,https://www.dealnews.com/G.H.-Bass-Mens-Washed-Canvas-Oxford-Shoes-for-35-free-shipping/2173295.html,G.H. Bass Men's Washed Canvas Oxford Shoes,SHOES,4
2173235,2018-01-06T14:02:09-05:00,$15,,"Dick's Sporting Goods offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173235"">Quest Hard Arm Chair</a> in Red for <strong>$14.97</strong> plus <strong>$5.99</strong> for shipping. That's tied with our October mention and the lowest price we could find by $13. It features a beverage holder, carry bag, and weight capacity of 300 lbs.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bykbklpqwiuxca9vpa7p",,$6 shipping,https://www.dealnews.com/Quest-Hard-Arm-Chair-for-15-6-s-h/2173235.html,Quest Hard Arm Chair,CAMPING & OUTDOORS,2
2173289,2018-01-06T13:59:29-05:00,$13,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173289"">Joy Mangano Miracle Mop Bucket</a> in Purple or Fuchsia for $14.99. Coupon code ""WKND"" cuts the price to <strong>$12.74</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099120,2173289"">HSN via eBay</a> charges about the same.) Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099108,2173289"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's the lowest price we could find by $5. It features a 4-gallon capacity, easy-pour spout, and locking handle. Deal ends January 7.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/a8wztosdukwaeidihpvc",,free s&h w/beauty item,https://www.dealnews.com/Joy-Mangano-Miracle-Mop-Bucket-for-13-free-s-h-w-beauty-item/2173289.html,Joy Mangano Miracle Mop Bucket,CLEANING SUPPLIES,4
2173283,2018-01-06T13:53:47-05:00,$30,,"Fix_my_toys via eBay offers the OEM <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173283"">Polaris Women's Asymmetrical Sweatshirt Hoodie</a> in Black for <strong>$29.95</strong> with <strong>free shipping</strong>. That's $30 off and the lowest price we could find. It's available in sizes XS to L.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x0ainugfp3izxogavvp5",,free shipping,https://www.dealnews.com/Polaris-Womens-Asymmetrical-Hoodie-for-30-free-shipping/2173283.html,Polaris Women's Asymmetrical Hoodie,SWEATSHIRTS & HOODIES,3
2173292,2018-01-06T13:50:37-05:00,$9,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173292"">Martha Stewart Collection 3-Pice Zesting Set</a> for <strong>$9.03</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099111,2173292"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $14 off list and the lowest price we could find. It features a zester, peeler, and paring knife.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/l5841o2xtz7post4fpst",,free s&h w/beauty item,https://www.dealnews.com/Martha-Stewart-Collection-3-Pc.-Zesting-Set-for-9-free-s-h-w-beauty-item/2173292.html,Martha Stewart Collection 3-Pc. Zesting Set,KITCHEN,2
2173211,2018-01-06T11:44:21-05:00,"40,000 points",,"Sign up for a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173211"">Southwest Rapid Rewards® Plus Credit Card from Chase</a> and earn <strong>40,000 points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099024,2173211"">$1,000 or more</a> in the first three months your account is open. You'll also earn <strong>3,000 bonus points</strong> after your Cardmember anniversary. Plus, earn unlimited points that don't expire as long as your card account is open. Cardmembers earn 2 points per $1 spent on Southwest® purchases and Rapid Rewards® Hotel and Car Rental Partner purchases, and 1 point per $1 spent on all other purchases. There are no blackout dates or seat restrictions when you redeem with points. Finally, bags fly free® and there are no change fees. A $69 annual fee applies.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bdvpkwrdh3pw8ey7wvmq",,,"https://www.dealnews.com/lw/click.html?20,2,2173211",Southwest Rapid Rewards® Plus Credit Card,CREDIT CARDS,
2173232,2018-01-06T13:49:36-05:00,Extra 10% off,,"Ending today, Sears takes an <strong>extra 10% off</strong> a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173232"">selection of kitchen items</a> via coupon code ""NEWYEAR"". Opt for in-store <strong>pickup</strong> to dodge shipping fees, which start around $3. (Orders of $25 or more bag free shipping.) The discount applies only to items sold directly by Sears, and other exclusions may apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s510/Sears/"">Sears Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ppsjzszjyya4628rsefo",,free shipping w/ $25,https://www.dealnews.com/Kitchenware-at-Sears-Extra-10-off-free-shipping-w-25/2173232.html,Kitchenware at Sears,KITCHEN,3
2173286,2018-01-06T13:39:25-05:00,$99,,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173286"">Home Decorators Collection East India Walnut Buffet</a> for <strong>$99.50</strong>. Opt for in-store <strong>pickup</strong> to dodge the $25 shipping charge. That's the lowest price we could find by $50. It measures 21"" x 28"". Deal ends January 7.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/u8d8dzxont920hmvijgw",,pickup at Home Depot,https://www.dealnews.com/Home-Decorators-Collection-East-India-Buffet-for-99-pickup-at-Home-Depot/2173286.html,Home Decorators Collection East India Buffet,HOME FURNITURE,4
2173268,2018-01-06T13:07:02-05:00,free,,"Amazon offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173268"">The Greatest Ghost and Horror Stories Ever Written Kindle eBook</a> for <strong>free</strong>. That's the lowest price we could find by a buck. It includes 30 stories by renowned authors such as Edgar Allan Poe, H.P. Lovecraft, H.G. Wells, Franz Kafka, and Bram Stoker.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ziqwcmobtom9eylspl6a",,,https://www.dealnews.com/Greatest-Ghost-Horror-Stories-Kindle-eBook-for-free/2173268.html,Greatest Ghost & Horror Stories Kindle eBook,EBOOKS,5
2173262,2018-01-06T13:05:33-05:00,$13,,"Alpine Swiss Store via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173262"">Alpine Swiss Men's Leather Zip Around Wallet</a> in several colors (Antique Brown pictured) for <strong>$12.74</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It features a zipper closure, card case, and two separate bill compartments.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/az6txmeyrkibi9kc9rse",,free shipping w/ Prime,https://www.dealnews.com/Alpine-Swiss-Mens-Leather-Zip-Around-Wallet-for-13-free-shipping-w-Prime/2173262.html,Alpine Swiss Men's Leather Zip Around Wallet,ACCESSORIES,5
2173247,2018-01-06T13:04:45-05:00,Up to 50% off; from $5,,"Amazon takes <b>up to 50% off</b> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099105,2173247"">young adult books</a>, with prices starting from <b>$4.99</b>. Plus, Amazon Prime members bag <b>free shipping</b>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099051,2173247"">Gwenda Bond's <i>Girl on a Wire</i></a> for <b>$4.99</b> (same at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099054,2173247"">Walmart</a>; low by $2)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173247"">Carrie Anne Noble's <i>The Mermaid's Sister</i></a> for <b>$5.99</b> (pictured, same at <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099057,2173247"">Walmart</a>; low by $4)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xd1fs7vsnvalepm26mdz",,free shipping w/ Prime,https://www.dealnews.com/Young-Adult-Books-at-Amazon-Up-to-50-off-from-5-free-shipping-w-Prime/2173247.html,Young Adult Books at Amazon,BOOKS,3
2173229,2018-01-06T13:03:32-05:00,$62,,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173229"">Optimum Nutrition 100% Whey Gold Standard Protein Powder 10-lb. Bag</a> in Double Rich Chocolate for $65.61. Order via Subscribe & Save to drop it to <b>$62.33</b>. With <b>free shipping</b>, that's the lowest price we could find by $38. It offers 24g of whey protein per serving.<br>
<br>
Be sure to cancel Subscribe & Save after your order ships to avoid being charged for subsequent orders.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uhbqfaxqjh9yaxaghdfy",,free shipping,https://www.dealnews.com/Optimum-Nutrition-100-Whey-Protein-10-lb-Bag-for-62-free-shipping/2173229.html,Optimum Nutrition 100% Whey Protein 10-lb Bag,SUPPLEMENTS,3
2173259,2018-01-06T12:56:13-05:00,$350,,"Hayneedle offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173259"">Ergotron WorkFit-T Sit-Stand Desktop Workstation</a> in White for <strong>$350.16</strong> with <strong>free shipping</strong>. Excluding the mention below, that's the lowest price we could find by $19. It creates a standing desk when you place it on top of your existing work surface.<br>
<br>
Prefer black? <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099075,2173259"">Dell</a> has it for $359.99 with free shipping.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ktnvv6g48jejo1ggajt3",,free shipping,https://www.dealnews.com/Ergotron-Work-Fit-T-Sit-Stand-Workstation-for-350-free-shipping/2173259.html,Ergotron WorkFit-T Sit-Stand Workstation,COMPUTER ACCESSORIES,3
2173226,,free,2018-01-06T12:06:55-05:00,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173226"">Dungeonism for iPhone and iPad</a> for <strong>free</strong>. That's $2 off list and the first time this retro-styled dungeon crawler has been free.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/herrwb4u2t2vypt02rtt",,,https://www.dealnews.com/Dungeonism-for-iPhone-and-iPad-for-free/2173226.html,Dungeonism for iPhone and iPad,IPHONE / IPOD APPS,4
2173217,2018-01-06T11:57:36-05:00,free,,"iTunes offers downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173217"">Streets of Rage Classic for iPhone and iPad</a> for <strong>free</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099030,2173217"">Google Play</a> also has the Android version for free.) That's $1 off list and the lowest price we could find for this classic side-scrolling brawler.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dqq9brvrujj5s1jqlw5r",,,https://www.dealnews.com/Streets-of-Rage-Classic-for-iOS-Android-for-free/2173217.html,Streets of Rage Classic for iOS / Android,IPHONE / IPOD APPS,5
