category,hotness,title,time_published,url,shipping,editors_choice,description,uuid,picture_url,price,time_modified
KITCHEN,5,OXO Good Grips Dish Brush Storage Set,2018-01-05T22:03:48-05:00,https://www.dealnews.com/OXO-Good-Grips-Dish-Brush-Storage-Set-for-3-w-25-purchase-free-shipping-w-Prime/2172992.html,free shipping w/ Prime,True,"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172992"">OXO Good Grips Dish Brush Storage Set</a> for <strong>$3.08</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $9. This soap-dispensing dish brush features nylon bristles and a built-in scraper for baked-on food.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",2172992,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hmy2lxqifmkgxcipdh4h",$3 w/$25 purchase,
TOYS & HOBBIES,3,Hasbro Cootie Game,2018-01-05T21:51:04-05:00,https://www.dealnews.com/Hasbro-Cootie-Game-for-5-w-25-purchase-free-shipping/2172989.html,free shipping,True,"With orders of $25 or more, Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172989"">Hasbro Cootie Game</a> for <strong>$4.68</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $11. It's designed for two to four players and includes four bodies, four heads, 24 legs, four eye pieces, four mouth pieces, four head accessories, die, label sheet, and Cootie bug parts chart.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",2172989,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w4zacmxi7eaouytptthv",$5 w/ $25 purchase,
SOFTWARE,3,The Python Mega Course,2018-01-05T20:56:59-05:00,https://www.dealnews.com/The-Python-Mega-Course-for-11/2172983.html,,,"Udemy offers <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172983"">The Python Mega Course</a> for <strong>$10.99</strong>. That's $184 off and tied with our mention from three weeks ago as the lowest price we could find. This course allows users to build 10 real world applications, and includes lifetime access to 17 coding exercises, 23.5 hours of on-demand video, 53 articles, and 44 supplemental resources.",2172983,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ts1yf6oheaws3ncbxygy",$11,
TOYS & HOBBIES,3,Syma X22W Mini Quadcopter Drone w/ HD Camera,2018-01-05T20:54:51-05:00,https://www.dealnews.com/Syma-X22-W-Mini-Quadcopter-Drone-w-HD-Camera-for-32-free-shipping/2172977.html,free shipping,,"As one of its daily deals, RC Drone via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172977"">Syma X22W Mini Quadcopter Drone with HD Camera</a> in Red or White for $37.40. Clip the $5 off coupon on the product page to cut it to <strong>$32.40</strong>. With <strong>free shipping</strong>, that's tied with our mention from three weeks ago and the lowest price we could find by $6. It features WiFi FPV, 0.3-megapixel camera, remote control, a 98-foot range, 5-minute flight time, four channels, and a spare battery. Deal ends today.",2172977,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zldholkcglswdzmwqzds",$32,
PC GAMES,3,Humble Monthly Subscription w/ Civilization 6,2018-01-05T20:45:30-05:00,https://www.dealnews.com/Humble-Monthly-Subscription-w-Civilization-6-for-12/2172980.html,,True,"Humble Bundle offers Steam downloads of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098856,2172980"">Sid Meier's Civilization VI for Windows, Mac, and Linux</a> bundled with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098853,2172980"">two DLC Packs</a> for <strong>$12</strong> when you sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172980"">Humble Monthly Subscription Box</a>. That's a $45 savings on this game and DLC alone. Each month, the Humble Monthly Subscription Box includes a selection of games valued at over $100. (You'll receive additional games after this deal ends on February 2.) Those who subscribed last month received nine games, including Tomb Raider, Quantum Break, and The Long Dark. Subscribers also get 10% off Humble Store purchases.<br>
<br>
Note: You can cancel the subscription at any time. Even if you do cancel, each game is yours to keep. Most games are compatible with Windows, and some games may also be compatible with Mac and Linux.",2172980,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/t2jpjekdq3uqym6fudzl",$12,
SHIRTS,3,INC International Concepts Men's Denim Shirt,2018-01-05T20:24:02-05:00,https://www.dealnews.com/INC-International-Concepts-Mens-Denim-Shirt-for-25-free-s-h-w-beauty-item/2172974.html,free s&h w/beauty item,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172974"">INC International Concepts Men's Faded Denim Shirt</a> in Medium Wash for <strong>$24.93</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098838,2172974"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $40 off list and the lowest price we could find. It's available in sizes XS to XXL.",2172974,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ipc4fytzpq7l9nbg0s6w",$25,
HANDBAGS,3,Calvin Klein Josie Medium Satchel,2018-01-05T20:22:54-05:00,https://www.dealnews.com/Calvin-Klein-Josie-Medium-Satchel-for-137-free-shipping/2172665.html,free shipping,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172665"">Calvin Klein Josie Medium Satchel</a> in Deep Blush for <b>$136.80</b> with <b>free shipping</b>. That's the lowest price we could find by $111. It features two handles, one removable strap, one interior center zip compartment, one zip pocket, and two slip pockets.",2172665,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p72bg4ve7jblhitvbpim",$137,
SECURITY CAMERAS,3,Ezviz 8-Ch. 1080p 2TB DVR Surveillance System,2018-01-05T20:18:44-05:00,https://www.dealnews.com/Ezviz-8-Ch.-1080-p-2-TB-DVR-Surveillance-System-for-300-free-shipping/2172680.html,free shipping,,"B&H Photo Video offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172680"">Ezviz Everyday 8-Channel 1080p 2TB DVR Surveillance System with 8 Indoor/Outdoor 1080p Cameras</a> for <strong>$299.88</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098118,2172680"">Sam's Club</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098121,2172680"">Amazon</a> charge the same.) That's tied with last week's mention and the lowest price we could find by $30. The system features eight weatherproof 1080p bullet cameras, night vision up to 100 feet, adjustable motion detection, a 2TB hard drive, Ethernet, and remote access via the Ezviz mobile app. Deal ends January 31.",2172680,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kikev7uo7yjiorzd1ax5",$300,
SMALL APPLIANCES,2,Ozeri Extravo Electric Wine Opener,2018-01-05T20:16:22-05:00,https://www.dealnews.com/Ozeri-Extravo-Electric-Wine-Opener-for-24-pickup-at-Home-Depot/2172668.html,pickup at Home Depot,,"Home Depot offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172668"">Ozeri Extravo Electric Wine Opener</a> for <strong>$23.88</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's the lowest price we could find by $8. It automatically activates when placed on a wine bottle and can open up to 60 bottles per charge. It comes with a foil cutter stand, pourer, and stopper. Deal ends January 31.",2172668,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dqjupnfk6fuixvdrhxaj",$24,
CREDIT CARDS,,Chase Sapphire Preferred® Card,2018-01-04T14:27:34-05:00,"https://www.dealnews.com/lw/click.html?20,2,2171954",,,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2171954"">Chase Sapphire Preferred® Credit Card</a> and earn <strong>50,000 bonus points</strong> after you spend <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096825,2171954"">$4,000 or more</a> on purchases in the first three months from account opening – that's $625 toward travel when you redeem through Chase Ultimate Rewards®. Plus, earn <strong>5,000 bonus points</strong> after you add the first authorized user and make a purchase in the first three months from account opening. Also, earn <strong>2 points</strong> for every $1 spent on travel and dining at restaurants both in the U.S. and abroad, and <strong>1 point</strong> for every $1 spent on all other purchases. There's a <strong>$0 Intro Annual Fee</strong> for the first year, then $95 for each additional year, and <strong>no foreign transaction fees</strong> on purchases made outside the United States. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17096828,2171954"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",2171954,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/d8ppsk9jlwz1siyg70ap","50,000 bonus points",
SHOES,3,Callaway Men's Chev Comfort Golf Shoes,2018-01-05T20:13:15-05:00,https://www.dealnews.com/Callaway-Mens-Chev-Comfort-Golf-Shoes-for-55-free-shipping/2172959.html,free shipping,,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172959"">Callaway Men's Chev Comfort Golf Shoes</a> in Black or White for $79.99. Coupon code ""DN55"" cuts that to <strong>$55</strong>. With <strong>free shipping</strong>, that's $45 off and the best deal we could find. They're available in sizes 9 to 13. Deal ends January 11.",2172959,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pdobfi2oouti0rblr3zt",$55,
T-SHIRTS,3,Orvis Men's Long Sleeve Slub Tee,2018-01-05T20:10:11-05:00,https://www.dealnews.com/Orvis-Mens-Long-Sleeve-Slub-Tee-from-15-free-shipping/2172956.html,free shipping,,"Costco offers its members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172956"">Orvis Men's Long Sleeve Slub Tee</a> in several colors (Dark Blue pictured) for <strong>$14.99</strong> with <strong>free shipping</strong>. (Non-members pay a 75-cent surcharge.) That's the lowest price we could find by $7. It's available in sizes S to XXL.",2172956,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vmtx8nufnm02zajfgyhn",from $15,
PC GAMES,3,Commandos Collection for PC,2018-01-05T20:09:26-05:00,https://www.dealnews.com/Commandos-Collection-for-PC-for-1/2172971.html,,True,"GamersGate offers Steam downloads of the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172971"">Commandos Collection for Windows</a> for <strong>$1.30</strong>. That's a slight drop from our April mention and the lowest price we've seen. (It's the best deal now by $11.) It includes Commandos: Behind Enemy Lines, Commandos: Beyond the Call of Duty, Commandos 2: Men of Courage, and Commandos 3: Destination Berlin. Deal ends January 7.",2172971,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/x6ynzm57t698dv04bnce",$1,
CAMPING & OUTDOORS,3,Hydrapak 1L Collapsible Water Container,2018-01-05T20:08:13-05:00,https://www.dealnews.com/Hydrapak-1-L-Collapsible-Water-Container-for-11-pickup-at-REI/2172947.html,pickup at REI,,"REI Garage offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172947"">Hydrapak Seeker 1-Liter Collapsible Water Container</a> in Gray for <strong>$10.73</strong>. Opt for in-store <strong>pickup</strong> to dodge the $5.99 shipping fee. That's tied with our July mention, $5 off, and the lowest price we could find. It features a 42mm screw cap and is compatible with the Katadyn BeFree Filter (sold separately).",2172947,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h8jci6q2arpukos9v11x",$11,
SUITS,4,Alfani Men's Jacquard Sport Coat,2018-01-05T20:06:28-05:00,https://www.dealnews.com/Alfani-Mens-Jacquard-Sport-Coat-for-32-free-s-h-w-beauty-item/2172968.html,free s&h w/beauty item,,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172968"">Alfani Men's Jacquard Sport Coat</a> in Black for $39.99. Coupon code ""WKND25"" cuts it to <strong>$29.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098826,2172968"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $110 off and the lowest price we could find. It's available in sizes S to XL. Deal ends January 7.",2172968,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bu502n3fmy0tkeccyjj7",$32,
SOFTWARE,3,Private Internet Access VPN Subscriptions,2018-01-05T20:03:20-05:00,https://www.dealnews.com/Private-Internet-Access-VPN-Subscriptions-from-17/2172965.html,,True,"StackSocial takes an <strong>extra 50% off</strong> Private Internet Access VPN Subscriptions for Windows, Mac, Linux, iOS, and Android via coupon code ""50LEARN"", as listed below. That yields the best per-year prices we've seen for this service. (We previously only saw it as low as $24/year.) This <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17098823,2172965"">well-reviewed</a> VPN software offers multiple VPN gateways, encrypted WiFi, P2P and VoIP support, and unlimited bandwidth. The deals, with prices after coupon:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172965"">Private Internet Access VPN 1-Year Subscription</a> for <strong>$17.48</strong> ($66 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172965"">Private Internet Access VPN 1-Year Subscription</a> for <strong>$44.98</strong> ($15/year, $205 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2172965"">Private Internet Access VPN 1-Year Subscription</a> for <strong>$69.98</strong> ($14/year, $347 off)
 </li>
</ul>
Note: These subscriptions will create a new account; you cannot use this promo to extend an existing subscription.",2172965,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wdwjtzlf1wnrakssdsfk",from $17,
